OfficeITPlaceId,DateTimeStamp,OccupancyPercent,date,time,NameOfTheDay,NumberingDay,DayType,HourOfDay,Slots
3,03-01-2015 00:05,11,03-01-2015 00:00,00:05:00,Saturday,6,weekend,0,S4
1,03-01-2015 00:10,6,03-01-2015 00:00,00:10:00,Saturday,6,weekend,0,S4
2,03-01-2015 00:15,6,03-01-2015 00:00,00:15:00,Saturday,6,weekend,0,S4
2,03-01-2015 00:20,8,03-01-2015 00:00,00:20:00,Saturday,6,weekend,0,S4
2,03-01-2015 00:25,8,03-01-2015 00:00,00:25:00,Saturday,6,weekend,0,S4
4,03-01-2015 00:30,8,03-01-2015 00:00,00:30:00,Saturday,6,weekend,0,S4
3,03-01-2015 00:35,11,03-01-2015 00:00,00:35:00,Saturday,6,weekend,0,S4
3,03-01-2015 00:40,14,03-01-2015 00:00,00:40:00,Saturday,6,weekend,0,S4
4,03-01-2015 00:45,11,03-01-2015 00:00,00:45:00,Saturday,6,weekend,0,S4
3,03-01-2015 00:50,7,03-01-2015 00:00,00:50:00,Saturday,6,weekend,0,S4
1,03-01-2015 00:55,6,03-01-2015 00:00,00:55:00,Saturday,6,weekend,0,S4
4,03-01-2015 01:00,12,03-01-2015 00:00,01:00:00,Saturday,6,weekend,1,S4
1,03-01-2015 01:05,5,03-01-2015 00:00,01:05:00,Saturday,6,weekend,1,S4
1,03-01-2015 01:10,14,03-01-2015 00:00,01:10:00,Saturday,6,weekend,1,S4
2,03-01-2015 01:15,12,03-01-2015 00:00,01:15:00,Saturday,6,weekend,1,S4
1,03-01-2015 01:20,12,03-01-2015 00:00,01:20:00,Saturday,6,weekend,1,S4
2,03-01-2015 01:25,12,03-01-2015 00:00,01:25:00,Saturday,6,weekend,1,S4
1,03-01-2015 01:30,13,03-01-2015 00:00,01:30:00,Saturday,6,weekend,1,S4
3,03-01-2015 01:35,10,03-01-2015 00:00,01:35:00,Saturday,6,weekend,1,S4
2,03-01-2015 01:40,11,03-01-2015 00:00,01:40:00,Saturday,6,weekend,1,S4
2,03-01-2015 01:45,7,03-01-2015 00:00,01:45:00,Saturday,6,weekend,1,S4
3,03-01-2015 01:50,13,03-01-2015 00:00,01:50:00,Saturday,6,weekend,1,S4
2,03-01-2015 01:55,6,03-01-2015 00:00,01:55:00,Saturday,6,weekend,1,S4
2,03-01-2015 02:00,12,03-01-2015 00:00,02:00:00,Saturday,6,weekend,2,S4
3,03-01-2015 02:05,11,03-01-2015 00:00,02:05:00,Saturday,6,weekend,2,S4
4,03-01-2015 02:10,7,03-01-2015 00:00,02:10:00,Saturday,6,weekend,2,S4
3,03-01-2015 02:15,7,03-01-2015 00:00,02:15:00,Saturday,6,weekend,2,S4
4,03-01-2015 02:20,15,03-01-2015 00:00,02:20:00,Saturday,6,weekend,2,S4
3,03-01-2015 02:25,13,03-01-2015 00:00,02:25:00,Saturday,6,weekend,2,S4
3,03-01-2015 02:30,9,03-01-2015 00:00,02:30:00,Saturday,6,weekend,2,S4
3,03-01-2015 02:35,9,03-01-2015 00:00,02:35:00,Saturday,6,weekend,2,S4
3,03-01-2015 02:40,15,03-01-2015 00:00,02:40:00,Saturday,6,weekend,2,S4
3,03-01-2015 02:45,9,03-01-2015 00:00,02:45:00,Saturday,6,weekend,2,S4
3,03-01-2015 02:50,7,03-01-2015 00:00,02:50:00,Saturday,6,weekend,2,S4
1,03-01-2015 02:55,6,03-01-2015 00:00,02:55:00,Saturday,6,weekend,2,S4
2,03-01-2015 03:00,8,03-01-2015 00:00,03:00:00,Saturday,6,weekend,3,S4
2,03-01-2015 03:05,11,03-01-2015 00:00,03:05:00,Saturday,6,weekend,3,S4
2,03-01-2015 03:10,14,03-01-2015 00:00,03:10:00,Saturday,6,weekend,3,S4
2,03-01-2015 03:15,8,03-01-2015 00:00,03:15:00,Saturday,6,weekend,3,S4
4,03-01-2015 03:20,13,03-01-2015 00:00,03:20:00,Saturday,6,weekend,3,S4
1,03-01-2015 03:25,11,03-01-2015 00:00,03:25:00,Saturday,6,weekend,3,S4
2,03-01-2015 03:30,11,03-01-2015 00:00,03:30:00,Saturday,6,weekend,3,S4
4,03-01-2015 03:35,12,03-01-2015 00:00,03:35:00,Saturday,6,weekend,3,S4
3,03-01-2015 03:40,11,03-01-2015 00:00,03:40:00,Saturday,6,weekend,3,S4
3,03-01-2015 03:45,9,03-01-2015 00:00,03:45:00,Saturday,6,weekend,3,S4
2,03-01-2015 03:50,8,03-01-2015 00:00,03:50:00,Saturday,6,weekend,3,S4
2,03-01-2015 03:55,6,03-01-2015 00:00,03:55:00,Saturday,6,weekend,3,S4
4,03-01-2015 04:00,6,03-01-2015 00:00,04:00:00,Saturday,6,weekend,4,S4
1,03-01-2015 04:05,10,03-01-2015 00:00,04:05:00,Saturday,6,weekend,4,S4
3,03-01-2015 04:10,10,03-01-2015 00:00,04:10:00,Saturday,6,weekend,4,S4
3,03-01-2015 04:15,6,03-01-2015 00:00,04:15:00,Saturday,6,weekend,4,S4
2,03-01-2015 04:20,14,03-01-2015 00:00,04:20:00,Saturday,6,weekend,4,S4
3,03-01-2015 04:25,6,03-01-2015 00:00,04:25:00,Saturday,6,weekend,4,S4
2,03-01-2015 04:30,10,03-01-2015 00:00,04:30:00,Saturday,6,weekend,4,S4
3,03-01-2015 04:35,12,03-01-2015 00:00,04:35:00,Saturday,6,weekend,4,S4
2,03-01-2015 04:40,8,03-01-2015 00:00,04:40:00,Saturday,6,weekend,4,S4
2,03-01-2015 04:45,12,03-01-2015 00:00,04:45:00,Saturday,6,weekend,4,S4
1,03-01-2015 04:50,6,03-01-2015 00:00,04:50:00,Saturday,6,weekend,4,S4
2,03-01-2015 04:55,6,03-01-2015 00:00,04:55:00,Saturday,6,weekend,4,S4
3,03-01-2015 05:00,7,03-01-2015 00:00,05:00:00,Saturday,6,weekend,5,S4
4,03-01-2015 05:05,11,03-01-2015 00:00,05:05:00,Saturday,6,weekend,5,S4
3,03-01-2015 05:10,10,03-01-2015 00:00,05:10:00,Saturday,6,weekend,5,S4
1,03-01-2015 05:15,9,03-01-2015 00:00,05:15:00,Saturday,6,weekend,5,S4
1,03-01-2015 05:20,7,03-01-2015 00:00,05:20:00,Saturday,6,weekend,5,S4
2,03-01-2015 05:25,12,03-01-2015 00:00,05:25:00,Saturday,6,weekend,5,S4
3,03-01-2015 05:30,5,03-01-2015 00:00,05:30:00,Saturday,6,weekend,5,S4
3,03-01-2015 05:35,15,03-01-2015 00:00,05:35:00,Saturday,6,weekend,5,S4
2,03-01-2015 05:40,6,03-01-2015 00:00,05:40:00,Saturday,6,weekend,5,S4
2,03-01-2015 05:45,14,03-01-2015 00:00,05:45:00,Saturday,6,weekend,5,S4
2,03-01-2015 05:50,14,03-01-2015 00:00,05:50:00,Saturday,6,weekend,5,S4
2,03-01-2015 05:55,14,03-01-2015 00:00,05:55:00,Saturday,6,weekend,5,S4
2,03-01-2015 06:00,11,03-01-2015 00:00,06:00:00,Saturday,6,weekend,6,S4
1,03-01-2015 06:05,6,03-01-2015 00:00,06:05:00,Saturday,6,weekend,6,S4
2,03-01-2015 06:10,13,03-01-2015 00:00,06:10:00,Saturday,6,weekend,6,S4
1,03-01-2015 06:15,12,03-01-2015 00:00,06:15:00,Saturday,6,weekend,6,S4
3,03-01-2015 06:20,15,03-01-2015 00:00,06:20:00,Saturday,6,weekend,6,S4
4,03-01-2015 06:25,12,03-01-2015 00:00,06:25:00,Saturday,6,weekend,6,S4
2,03-01-2015 06:30,8,03-01-2015 00:00,06:30:00,Saturday,6,weekend,6,S4
1,03-01-2015 06:35,12,03-01-2015 00:00,06:35:00,Saturday,6,weekend,6,S4
3,03-01-2015 06:40,12,03-01-2015 00:00,06:40:00,Saturday,6,weekend,6,S4
1,03-01-2015 06:45,6,03-01-2015 00:00,06:45:00,Saturday,6,weekend,6,S4
1,03-01-2015 06:50,7,03-01-2015 00:00,06:50:00,Saturday,6,weekend,6,S4
1,03-01-2015 06:55,12,03-01-2015 00:00,06:55:00,Saturday,6,weekend,6,S4
2,03-01-2015 07:00,7,03-01-2015 00:00,07:00:00,Saturday,6,weekend,7,S4
3,03-01-2015 07:05,10,03-01-2015 00:00,07:05:00,Saturday,6,weekend,7,S4
2,03-01-2015 07:10,14,03-01-2015 00:00,07:10:00,Saturday,6,weekend,7,S4
2,03-01-2015 07:15,12,03-01-2015 00:00,07:15:00,Saturday,6,weekend,7,S4
2,03-01-2015 07:20,14,03-01-2015 00:00,07:20:00,Saturday,6,weekend,7,S4
4,03-01-2015 07:25,6,03-01-2015 00:00,07:25:00,Saturday,6,weekend,7,S4
2,03-01-2015 07:30,11,03-01-2015 00:00,07:30:00,Saturday,6,weekend,7,S4
3,03-01-2015 07:35,12,03-01-2015 00:00,07:35:00,Saturday,6,weekend,7,S4
2,03-01-2015 07:40,12,03-01-2015 00:00,07:40:00,Saturday,6,weekend,7,S4
3,03-01-2015 07:45,6,03-01-2015 00:00,07:45:00,Saturday,6,weekend,7,S4
2,03-01-2015 07:50,6,03-01-2015 00:00,07:50:00,Saturday,6,weekend,7,S4
3,03-01-2015 07:55,10,03-01-2015 00:00,07:55:00,Saturday,6,weekend,7,S4
4,03-01-2015 08:00,36,03-01-2015 00:00,08:00:00,Saturday,6,weekend,8,S1
2,03-01-2015 08:05,38,03-01-2015 00:00,08:05:00,Saturday,6,weekend,8,S1
2,03-01-2015 08:10,38,03-01-2015 00:00,08:10:00,Saturday,6,weekend,8,S1
4,03-01-2015 08:15,39,03-01-2015 00:00,08:15:00,Saturday,6,weekend,8,S1
4,03-01-2015 08:20,32,03-01-2015 00:00,08:20:00,Saturday,6,weekend,8,S1
2,03-01-2015 08:25,40,03-01-2015 00:00,08:25:00,Saturday,6,weekend,8,S1
2,03-01-2015 08:30,39,03-01-2015 00:00,08:30:00,Saturday,6,weekend,8,S1
2,03-01-2015 08:35,31,03-01-2015 00:00,08:35:00,Saturday,6,weekend,8,S1
3,03-01-2015 08:40,32,03-01-2015 00:00,08:40:00,Saturday,6,weekend,8,S1
2,03-01-2015 08:45,34,03-01-2015 00:00,08:45:00,Saturday,6,weekend,8,S1
4,03-01-2015 08:50,31,03-01-2015 00:00,08:50:00,Saturday,6,weekend,8,S1
3,03-01-2015 08:55,38,03-01-2015 00:00,08:55:00,Saturday,6,weekend,8,S1
4,03-01-2015 09:00,39,03-01-2015 00:00,09:00:00,Saturday,6,weekend,9,S1
3,03-01-2015 09:05,38,03-01-2015 00:00,09:05:00,Saturday,6,weekend,9,S1
4,03-01-2015 09:10,39,03-01-2015 00:00,09:10:00,Saturday,6,weekend,9,S1
1,03-01-2015 09:15,33,03-01-2015 00:00,09:15:00,Saturday,6,weekend,9,S1
3,03-01-2015 09:20,31,03-01-2015 00:00,09:20:00,Saturday,6,weekend,9,S1
1,03-01-2015 09:25,37,03-01-2015 00:00,09:25:00,Saturday,6,weekend,9,S1
2,03-01-2015 09:30,39,03-01-2015 00:00,09:30:00,Saturday,6,weekend,9,S1
3,03-01-2015 09:35,31,03-01-2015 00:00,09:35:00,Saturday,6,weekend,9,S1
4,03-01-2015 09:40,35,03-01-2015 00:00,09:40:00,Saturday,6,weekend,9,S1
2,03-01-2015 09:45,36,03-01-2015 00:00,09:45:00,Saturday,6,weekend,9,S1
4,03-01-2015 09:50,37,03-01-2015 00:00,09:50:00,Saturday,6,weekend,9,S1
2,03-01-2015 09:55,39,03-01-2015 00:00,09:55:00,Saturday,6,weekend,9,S1
2,03-01-2015 10:00,33,03-01-2015 00:00,10:00:00,Saturday,6,weekend,10,S1
3,03-01-2015 10:05,31,03-01-2015 00:00,10:05:00,Saturday,6,weekend,10,S1
3,03-01-2015 10:10,40,03-01-2015 00:00,10:10:00,Saturday,6,weekend,10,S1
4,03-01-2015 10:15,36,03-01-2015 00:00,10:15:00,Saturday,6,weekend,10,S1
3,03-01-2015 10:20,38,03-01-2015 00:00,10:20:00,Saturday,6,weekend,10,S1
4,03-01-2015 10:25,38,03-01-2015 00:00,10:25:00,Saturday,6,weekend,10,S1
1,03-01-2015 10:30,35,03-01-2015 00:00,10:30:00,Saturday,6,weekend,10,S1
2,03-01-2015 10:35,31,03-01-2015 00:00,10:35:00,Saturday,6,weekend,10,S1
3,03-01-2015 10:40,39,03-01-2015 00:00,10:40:00,Saturday,6,weekend,10,S1
2,03-01-2015 10:45,36,03-01-2015 00:00,10:45:00,Saturday,6,weekend,10,S1
2,03-01-2015 10:50,31,03-01-2015 00:00,10:50:00,Saturday,6,weekend,10,S1
2,03-01-2015 10:55,38,03-01-2015 00:00,10:55:00,Saturday,6,weekend,10,S1
3,03-01-2015 11:00,39,03-01-2015 00:00,11:00:00,Saturday,6,weekend,11,S1
3,03-01-2015 11:05,36,03-01-2015 00:00,11:05:00,Saturday,6,weekend,11,S1
4,03-01-2015 11:10,33,03-01-2015 00:00,11:10:00,Saturday,6,weekend,11,S1
2,03-01-2015 11:15,36,03-01-2015 00:00,11:15:00,Saturday,6,weekend,11,S1
2,03-01-2015 11:20,39,03-01-2015 00:00,11:20:00,Saturday,6,weekend,11,S1
3,03-01-2015 11:25,38,03-01-2015 00:00,11:25:00,Saturday,6,weekend,11,S1
2,03-01-2015 11:30,31,03-01-2015 00:00,11:30:00,Saturday,6,weekend,11,S1
3,03-01-2015 11:35,35,03-01-2015 00:00,11:35:00,Saturday,6,weekend,11,S1
2,03-01-2015 11:40,38,03-01-2015 00:00,11:40:00,Saturday,6,weekend,11,S1
3,03-01-2015 11:45,37,03-01-2015 00:00,11:45:00,Saturday,6,weekend,11,S1
2,03-01-2015 11:50,31,03-01-2015 00:00,11:50:00,Saturday,6,weekend,11,S1
2,03-01-2015 11:55,31,03-01-2015 00:00,11:55:00,Saturday,6,weekend,11,S1
1,03-01-2015 12:00,37,03-01-2015 00:00,12:00:00,Saturday,6,weekend,12,S1
3,03-01-2015 12:05,34,03-01-2015 00:00,12:05:00,Saturday,6,weekend,12,S1
2,03-01-2015 12:10,37,03-01-2015 00:00,12:10:00,Saturday,6,weekend,12,S1
2,03-01-2015 12:15,37,03-01-2015 00:00,12:15:00,Saturday,6,weekend,12,S1
3,03-01-2015 12:20,36,03-01-2015 00:00,12:20:00,Saturday,6,weekend,12,S1
3,03-01-2015 12:25,38,03-01-2015 00:00,12:25:00,Saturday,6,weekend,12,S1
3,03-01-2015 12:30,32,03-01-2015 00:00,12:30:00,Saturday,6,weekend,12,S1
1,03-01-2015 12:35,32,03-01-2015 00:00,12:35:00,Saturday,6,weekend,12,S1
1,03-01-2015 12:40,34,03-01-2015 00:00,12:40:00,Saturday,6,weekend,12,S1
3,03-01-2015 12:45,35,03-01-2015 00:00,12:45:00,Saturday,6,weekend,12,S1
3,03-01-2015 12:50,31,03-01-2015 00:00,12:50:00,Saturday,6,weekend,12,S1
2,03-01-2015 12:55,36,03-01-2015 00:00,12:55:00,Saturday,6,weekend,12,S1
1,03-01-2015 13:00,32,03-01-2015 00:00,13:00:00,Saturday,6,weekend,13,S1
3,03-01-2015 13:05,38,03-01-2015 00:00,13:05:00,Saturday,6,weekend,13,S1
3,03-01-2015 13:10,36,03-01-2015 00:00,13:10:00,Saturday,6,weekend,13,S1
4,03-01-2015 13:15,32,03-01-2015 00:00,13:15:00,Saturday,6,weekend,13,S1
4,03-01-2015 13:20,31,03-01-2015 00:00,13:20:00,Saturday,6,weekend,13,S1
3,03-01-2015 13:25,33,03-01-2015 00:00,13:25:00,Saturday,6,weekend,13,S1
3,03-01-2015 13:30,34,03-01-2015 00:00,13:30:00,Saturday,6,weekend,13,S1
3,03-01-2015 13:35,39,03-01-2015 00:00,13:35:00,Saturday,6,weekend,13,S1
4,03-01-2015 13:40,35,03-01-2015 00:00,13:40:00,Saturday,6,weekend,13,S1
1,03-01-2015 13:45,37,03-01-2015 00:00,13:45:00,Saturday,6,weekend,13,S1
2,03-01-2015 13:50,36,03-01-2015 00:00,13:50:00,Saturday,6,weekend,13,S1
3,03-01-2015 13:55,39,03-01-2015 00:00,13:55:00,Saturday,6,weekend,13,S1
3,03-01-2015 14:00,34,03-01-2015 00:00,14:00:00,Saturday,6,weekend,14,S2
2,03-01-2015 14:05,38,03-01-2015 00:00,14:05:00,Saturday,6,weekend,14,S2
3,03-01-2015 14:10,40,03-01-2015 00:00,14:10:00,Saturday,6,weekend,14,S2
4,03-01-2015 14:15,35,03-01-2015 00:00,14:15:00,Saturday,6,weekend,14,S2
4,03-01-2015 14:20,30,03-01-2015 00:00,14:20:00,Saturday,6,weekend,14,S2
3,03-01-2015 14:25,39,03-01-2015 00:00,14:25:00,Saturday,6,weekend,14,S2
3,03-01-2015 14:30,36,03-01-2015 00:00,14:30:00,Saturday,6,weekend,14,S2
1,03-01-2015 14:35,39,03-01-2015 00:00,14:35:00,Saturday,6,weekend,14,S2
4,03-01-2015 14:40,39,03-01-2015 00:00,14:40:00,Saturday,6,weekend,14,S2
4,03-01-2015 14:45,34,03-01-2015 00:00,14:45:00,Saturday,6,weekend,14,S2
2,03-01-2015 14:50,34,03-01-2015 00:00,14:50:00,Saturday,6,weekend,14,S2
3,03-01-2015 14:55,34,03-01-2015 00:00,14:55:00,Saturday,6,weekend,14,S2
4,03-01-2015 15:00,37,03-01-2015 00:00,15:00:00,Saturday,6,weekend,15,S2
2,03-01-2015 15:05,35,03-01-2015 00:00,15:05:00,Saturday,6,weekend,15,S2
4,03-01-2015 15:10,31,03-01-2015 00:00,15:10:00,Saturday,6,weekend,15,S2
2,03-01-2015 15:15,37,03-01-2015 00:00,15:15:00,Saturday,6,weekend,15,S2
4,03-01-2015 15:20,34,03-01-2015 00:00,15:20:00,Saturday,6,weekend,15,S2
1,03-01-2015 15:25,38,03-01-2015 00:00,15:25:00,Saturday,6,weekend,15,S2
3,03-01-2015 15:30,33,03-01-2015 00:00,15:30:00,Saturday,6,weekend,15,S2
4,03-01-2015 15:35,38,03-01-2015 00:00,15:35:00,Saturday,6,weekend,15,S2
3,03-01-2015 15:40,32,03-01-2015 00:00,15:40:00,Saturday,6,weekend,15,S2
1,03-01-2015 15:45,40,03-01-2015 00:00,15:45:00,Saturday,6,weekend,15,S2
3,03-01-2015 15:50,34,03-01-2015 00:00,15:50:00,Saturday,6,weekend,15,S2
2,03-01-2015 15:55,39,03-01-2015 00:00,15:55:00,Saturday,6,weekend,15,S2
1,03-01-2015 16:00,38,03-01-2015 00:00,16:00:00,Saturday,6,weekend,16,S2
2,03-01-2015 16:05,30,03-01-2015 00:00,16:05:00,Saturday,6,weekend,16,S2
4,03-01-2015 16:10,36,03-01-2015 00:00,16:10:00,Saturday,6,weekend,16,S2
3,03-01-2015 16:15,39,03-01-2015 00:00,16:15:00,Saturday,6,weekend,16,S2
2,03-01-2015 16:20,37,03-01-2015 00:00,16:20:00,Saturday,6,weekend,16,S2
3,03-01-2015 16:25,36,03-01-2015 00:00,16:25:00,Saturday,6,weekend,16,S2
4,03-01-2015 16:30,37,03-01-2015 00:00,16:30:00,Saturday,6,weekend,16,S2
2,03-01-2015 16:35,31,03-01-2015 00:00,16:35:00,Saturday,6,weekend,16,S2
1,03-01-2015 16:40,34,03-01-2015 00:00,16:40:00,Saturday,6,weekend,16,S2
2,03-01-2015 16:45,30,03-01-2015 00:00,16:45:00,Saturday,6,weekend,16,S2
4,03-01-2015 16:50,36,03-01-2015 00:00,16:50:00,Saturday,6,weekend,16,S2
2,03-01-2015 16:55,35,03-01-2015 00:00,16:55:00,Saturday,6,weekend,16,S2
3,03-01-2015 17:00,38,03-01-2015 00:00,17:00:00,Saturday,6,weekend,17,S2
2,03-01-2015 17:05,31,03-01-2015 00:00,17:05:00,Saturday,6,weekend,17,S2
3,03-01-2015 17:10,35,03-01-2015 00:00,17:10:00,Saturday,6,weekend,17,S2
3,03-01-2015 17:15,30,03-01-2015 00:00,17:15:00,Saturday,6,weekend,17,S2
1,03-01-2015 17:20,31,03-01-2015 00:00,17:20:00,Saturday,6,weekend,17,S2
2,03-01-2015 17:25,39,03-01-2015 00:00,17:25:00,Saturday,6,weekend,17,S2
1,03-01-2015 17:30,36,03-01-2015 00:00,17:30:00,Saturday,6,weekend,17,S2
4,03-01-2015 17:35,30,03-01-2015 00:00,17:35:00,Saturday,6,weekend,17,S2
1,03-01-2015 17:40,36,03-01-2015 00:00,17:40:00,Saturday,6,weekend,17,S2
2,03-01-2015 17:45,35,03-01-2015 00:00,17:45:00,Saturday,6,weekend,17,S2
3,03-01-2015 17:50,38,03-01-2015 00:00,17:50:00,Saturday,6,weekend,17,S2
3,03-01-2015 17:55,31,03-01-2015 00:00,17:55:00,Saturday,6,weekend,17,S2
3,03-01-2015 18:00,39,03-01-2015 00:00,18:00:00,Saturday,6,weekend,18,S2
3,03-01-2015 18:05,37,03-01-2015 00:00,18:05:00,Saturday,6,weekend,18,S2
3,03-01-2015 18:10,31,03-01-2015 00:00,18:10:00,Saturday,6,weekend,18,S2
4,03-01-2015 18:15,31,03-01-2015 00:00,18:15:00,Saturday,6,weekend,18,S2
1,03-01-2015 18:20,35,03-01-2015 00:00,18:20:00,Saturday,6,weekend,18,S2
4,03-01-2015 18:25,32,03-01-2015 00:00,18:25:00,Saturday,6,weekend,18,S2
2,03-01-2015 18:30,40,03-01-2015 00:00,18:30:00,Saturday,6,weekend,18,S2
3,03-01-2015 18:35,32,03-01-2015 00:00,18:35:00,Saturday,6,weekend,18,S2
2,03-01-2015 18:40,35,03-01-2015 00:00,18:40:00,Saturday,6,weekend,18,S2
3,03-01-2015 18:45,30,03-01-2015 00:00,18:45:00,Saturday,6,weekend,18,S2
4,03-01-2015 18:50,37,03-01-2015 00:00,18:50:00,Saturday,6,weekend,18,S2
4,03-01-2015 18:55,31,03-01-2015 00:00,18:55:00,Saturday,6,weekend,18,S2
2,03-01-2015 19:00,38,03-01-2015 00:00,19:00:00,Saturday,6,weekend,19,S2
2,03-01-2015 19:05,40,03-01-2015 00:00,19:05:00,Saturday,6,weekend,19,S2
4,03-01-2015 19:10,31,03-01-2015 00:00,19:10:00,Saturday,6,weekend,19,S2
1,03-01-2015 19:15,31,03-01-2015 00:00,19:15:00,Saturday,6,weekend,19,S2
3,03-01-2015 19:20,37,03-01-2015 00:00,19:20:00,Saturday,6,weekend,19,S2
3,03-01-2015 19:25,31,03-01-2015 00:00,19:25:00,Saturday,6,weekend,19,S2
3,03-01-2015 19:30,36,03-01-2015 00:00,19:30:00,Saturday,6,weekend,19,S2
2,03-01-2015 19:35,38,03-01-2015 00:00,19:35:00,Saturday,6,weekend,19,S2
4,03-01-2015 19:40,36,03-01-2015 00:00,19:40:00,Saturday,6,weekend,19,S2
3,03-01-2015 19:45,31,03-01-2015 00:00,19:45:00,Saturday,6,weekend,19,S2
3,03-01-2015 19:50,31,03-01-2015 00:00,19:50:00,Saturday,6,weekend,19,S2
3,03-01-2015 19:55,31,03-01-2015 00:00,19:55:00,Saturday,6,weekend,19,S2
4,03-01-2015 20:00,9,03-01-2015 00:00,20:00:00,Saturday,6,weekend,20,S3
